Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Debt,Late_Payments_Last_Year,Savings_Balance,Debt_to_Income_Ratio,Employment_Status,Account_Type,Has_Credit_Card,Actual_Loan_Default,Predicted_Loan_Default
67.0,111685.0,493.0,19242,12,77233,4,54108.0,0.69,Full-time,Basic,Yes,1,0
51.0,136417.0,835.0,8178,12,70130,3,13547.0,0.51,Full-time,Premium,No,0,0
26.0,35272.0,825.0,6180,72,50758,7,54505.0,1.44,Full-time,Premium,No,1,0
32.0,153151.0,590.0,13978,24,47124,0,29417.0,0.31,Unemployed,Basic,Yes,0,0
33.0,73395.0,805.0,8184,36,62476,0,32573.0,0.85,Part-time,Standard,Yes,0,0
24.0,120576.0,848.0,28071,72,6416,7,20319.0,0.05,Full-time,Standard,Yes,0,0
22.0,49720.0,588.0,77833,36,46959,1,50368.0,0.94,Full-time,Premium,No,0,1
25.0,147225.0,680.0,52390,60,73167,2,37812.0,0.5,Full-time,Basic,No,0,0
64.0,37286.0,716.0,77324,72,27563,3,44827.0,0.74,Full-time,Standard,Yes,1,0
60.0,123361.0,637.5,37655,12,50931,0,30907.0,0.41,Self-employed,Standard,No,0,0
59.0,75669.0,638.0,21816,72,28677,2,42568.0,0.38,Part-time,Standard,Yes,0,0
22.0,144727.0,658.0,65737,36,76558,1,21328.0,0.53,Part-time,Standard,Yes,0,0
27.0,84290.0,493.0,15707,48,30884,7,9648.0,0.37,Part-time,Premium,No,0,0
37.0,141397.0,604.0,76281,36,11909,5,48794.0,0.08,Self-employed,Premium,Yes,0,0
26.0,84329.0,564.0,74841,24,39738,4,14641.0,0.47,Full-time,Premium,Yes,0,1
39.0,95939.0,736.0,56455,60,58424,1,47566.0,0.61,Full-time,Basic,Yes,0,0
49.0,118371.0,777.0,53666,48,56174,1,31275.0,0.47,Full-time,Standard,No,0,0
57.0,117841.0,560.0,15426,36,69247,3,15322.0,0.59,Unemployed,Premium,No,0,0
38.0,70601.0,541.0,12127,60,31295,0,56253.0,0.44,Full-time,Premium,Yes,0,0
46.0,134563.0,578.0,62650,60,67181,0,50011.0,0.5,Full-time,Basic,Yes,1,0
42.0,176057.0,813.0,47829,12,86963,0,9453.0,0.49,Full-time,Basic,Yes,0,0
46.0,58698.0,691.0,64546,24,10495,0,27023.0,0.18,Full-time,Standard,Yes,0,0
23.0,102414.0,744.0,71767,48,5857,0,4471.0,0.06,Part-time,Standard,Yes,0,0
44.0,77694.0,591.0,27812,48,19638,3,3821.0,0.25,Full-time,Standard,Yes,0,0
48.0,93629.0,509.0,46190,48,24978,1,55643.0,0.27,Part-time,Premium,Yes,0,0
59.0,65601.0,600.0,68486,36,77823,1,15496.0,1.19,Part-time,Standard,No,0,1
59.0,47452.0,469.0,37012,12,56223,7,30907.0,1.18,Full-time,Basic,Yes,1,1
44.0,74203.0,709.0,49566,12,69436,4,22208.0,0.94,Part-time,Basic,No,1,0
63.0,150265.0,667.0,23386,72,39710,0,35796.0,0.26,Part-time,Premium,Yes,0,0
30.0,92573.0,784.0,42651,36,9367,1,32773.0,0.1,Full-time,Standard,Yes,0,0
41.0,35417.0,591.0,76987,12,83173,1,373.0,2.35,Self-employed,Basic,Yes,1,1
54.0,161545.0,483.0,79539,24,50650,5,59982.0,0.31,Part-time,Basic,No,1,0
68.0,106845.0,515.0,14794,24,6260,7,20720.0,0.06,Unemployed,Standard,Yes,0,0
45.0,73236.0,678.0,14402,72,23259,2,46424.0,0.32,Full-time,Basic,No,0,0
56.0,45711.0,559.0,47241,12,77508,7,56400.0,1.7,Full-time,Premium,Yes,1,1
66.0,169715.0,690.0,66401,48,73134,0,27466.0,0.43,Full-time,Standard,Yes,0,0
40.0,167291.0,625.0,9638,36,61815,4,15390.0,0.37,Full-time,Standard,Yes,0,0
53.0,59116.0,528.0,16476,72,46099,5,37256.0,0.78,Full-time,Standard,Yes,1,0
37.0,104336.0,635.0,29222,36,48852,5,19068.0,0.47,Full-time,Basic,Yes,0,0
43.0,54097.0,790.0,34757,60,53565,6,36509.0,0.99,Unemployed,Standard,Yes,1,0
54.0,78969.0,600.0,19914,60,23582,0,24518.0,0.3,Full-time,Premium,No,0,0
24.0,170343.0,518.0,25365,12,70397,7,27722.0,0.41,Unemployed,Standard,Yes,0,0
50.0,118826.0,657.0,12524,36,42998,7,22507.0,0.36,Unemployed,Standard,Yes,0,0
47.0,92639.0,845.0,10191,72,73591,5,45517.0,0.79,Self-employed,Basic,Yes,0,0
35.0,161912.0,638.0,23319,12,30054,1,30907.0,0.19,Self-employed,Standard,No,0,0
66.0,143917.0,825.0,57028,48,31059,5,32138.0,0.22,Full-time,Standard,Yes,0,0
37.0,42642.0,451.0,67447,72,61579,3,16162.0,1.44,Full-time,Standard,Yes,1,1
39.0,89633.0,732.0,34493,12,2552,0,47104.0,0.03,Part-time,Standard,No,0,0
37.0,92748.0,587.0,12819,12,26208,7,16563.0,0.28,Full-time,Standard,Yes,0,0
35.0,159868.0,825.0,78315,72,65118,7,29501.0,0.41,Full-time,Premium,Yes,0,0
67.0,60343.0,690.0,77858,24,31312,6,52837.0,0.52,Part-time,Basic,Yes,0,0
28.0,140383.0,665.0,51657,48,61659,4,2844.0,0.44,Full-time,Premium,Yes,0,0
56.0,151053.0,745.0,76502,12,779,1,44754.0,0.01,Full-time,Standard,Yes,0,0
30.0,58701.0,595.0,38569,72,62461,1,47197.0,1.06,Full-time,Basic,Yes,0,0
40.0,93527.0,473.0,61190,36,71626,5,58725.0,0.77,Full-time,Standard,Yes,1,1
22.0,156181.0,521.0,52251,60,60893,4,9465.0,0.39,Part-time,Standard,Yes,1,0
44.0,110782.0,621.0,36838,36,34096,4,14321.0,0.31,Full-time,Standard,No,0,0
41.0,177973.0,838.0,50261,60,3560,2,6286.0,0.02,Part-time,Premium,Yes,0,0
53.0,160432.0,580.0,45579,60,11638,4,16856.0,0.07,Part-time,Basic,No,0,0
28.0,26951.0,574.0,52675,36,33407,5,56684.0,1.24,Full-time,Standard,No,1,0
51.0,145454.0,742.0,7716,72,6764,4,20947.0,0.05,Unemployed,Premium,Yes,0,0
68.0,152717.0,568.0,15321,60,51402,0,42023.0,0.34,Full-time,Basic,Yes,0,0
53.0,154693.0,848.0,30646,60,69151,3,27894.0,0.45,Part-time,Basic,No,0,0
53.0,63715.0,516.0,68347,36,60559,4,37480.0,0.95,Self-employed,Basic,Yes,1,1
45.0,143416.0,717.0,61907,48,35423,4,1337.0,0.25,Part-time,Premium,Yes,0,0
24.0,150346.0,732.0,59644,60,11380,2,19343.0,0.08,Part-time,Premium,Yes,0,0
23.0,167701.0,666.0,20422,72,401,3,14270.0,0.0,Full-time,Premium,Yes,0,0
59.0,69347.0,752.0,43643,12,80140,4,37035.0,1.16,Full-time,Standard,No,1,0
63.0,172912.0,728.0,40238,48,49992,7,47978.0,0.29,Self-employed,Standard,Yes,0,0
22.0,31443.0,628.0,40954,24,67293,3,15232.0,2.14,Self-employed,Basic,Yes,1,1
