registration_id,age,age_group,gender,region,ticket_type,registration_channel,event_category,days_before_event_registered,ticket_price,previous_events_attended,email_reminders_opened,social_media_clicks,distance_to_venue_km,group_registration,calendar_invite_accepted,attended_event
EV0001,36,36-50,Male,North,VIP,Phone,Business,70,197,14,6,11,11.2,Yes,Yes,1
EV0002,57,51+,Female,South,Free,Mobile App,Arts,22,0,1,1,12,54.6,Yes,Yes,1
EV0003,64,51+,Female,East,Free,Partner Site,Technology,55,0,6,5,2,75.8,No,No,0
EV0004,42,36-50,Male,West,VIP,Mobile App,Education,60,413,18,5,0,90.2,No,Yes,1
EV0005,29,26-35,Male,East,Student,Phone,Business,44,26,11,0,6,25.3,No,No,1
EV0006,53,51+,Male,North,Free,Mobile App,Arts,39,0,5,6,1,2.6,No,Yes,1
EV0007,76,51+,Male,South,Standard,Mobile App,Business,107,110,14,6,11,10.3,Yes,Yes,1
EV0008,53,51+,Female,South,Free,Website,Arts,118,0,9,1,1,94.3,No,No,0
EV0009,49,36-50,Male,South,Standard,Phone,Business,94,133,14,3,9,75.7,No,Yes,1
EV0010,26,26-35,Female,East,Standard,Mobile App,Health,56,103,16,4,1,81.8,No,Yes,1
EV0011,43,36-50,Female,North,Standard,Website,Arts,20,41,10,3,10,42.1,No,Yes,1
EV0012,67,51+,Female,South,Standard,Partner Site,Health,73,112,1,5,2,1.6,No,Yes,1
EV0013,27,26-35,Female,North,Standard,Website,Education,36,58,4,0,6,7.6,No,Yes,0
EV0014,69,51+,Female,West,Free,Website,Health,92,0,6,4,1,73.7,No,Yes,1
EV0015,53,51+,Male,West,VIP,Mobile App,Technology,89,414,17,1,10,66.8,Yes,No,0
EV0016,62,51+,Female,East,Standard,Partner Site,Technology,101,151,4,6,5,3.1,No,Yes,1
EV0017,53,51+,Male,West,Free,Phone,Education,119,0,14,0,9,30.7,No,Yes,1
EV0018,64,51+,Male,North,Student,Phone,Business,45,32,12,0,5,12.9,Yes,Yes,1
EV0019,68,51+,Female,North,VIP,Mobile App,Arts,15,285,17,3,1,25.2,Yes,Yes,1
EV0020,74,51+,Female,South,Standard,Website,Health,22,52,16,4,6,19.2,No,Yes,1
EV0021,45,36-50,Male,North,Standard,Phone,Health,42,49,12,3,3,45.8,Yes,No,1
EV0022,58,51+,Male,North,Student,Mobile App,Health,94,10,5,5,6,70.9,No,No,0
EV0023,41,36-50,Female,South,Standard,Website,Education,23,168,7,0,1,53.9,Yes,Yes,0
EV0024,38,36-50,Male,North,Free,Website,Technology,11,0,14,2,10,62.4,No,Yes,1
EV0025,21,18-25,Male,West,Free,Website,Education,57,0,18,0,9,23.0,No,No,1
EV0026,21,18-25,Male,North,Free,Phone,Health,106,0,7,2,2,60.8,Yes,No,0
EV0027,52,51+,Male,South,Free,Phone,Education,24,0,6,5,3,82.2,No,Yes,0
EV0028,35,26-35,Female,South,Student,Website,Health,39,16,4,3,12,43.3,No,Yes,0
EV0029,46,36-50,Female,West,Standard,Website,Technology,113,75,12,1,2,,No,Yes,1
EV0030,70,51+,Male,North,Standard,Phone,Technology,52,97,0,2,6,60.3,No,Yes,1
EV0031,23,18-25,Female,South,Standard,Mobile App,Arts,86,159,1,5,2,86.4,No,Yes,0
EV0032,75,51+,Female,North,Standard,Website,Health,31,116,8,6,3,31.2,No,No,0
EV0033,31,26-35,Female,West,Standard,Website,Technology,88,159,8,3,6,13.6,No,Yes,1
EV0034,57,51+,Female,North,Free,Partner Site,Education,102,0,7,5,6,25.9,No,Yes,1
EV0035,62,51+,Female,West,Standard,Website,Arts,64,167,1,5,3,9.1,No,Yes,1
EV0036,57,51+,Male,East,VIP,Phone,Arts,83,304,16,4,6,70.1,No,Yes,1
EV0037,69,51+,Male,West,Student,Website,Technology,101,19,16,0,11,29.4,Yes,No,0
EV0038,29,26-35,Female,East,Free,Partner Site,Education,45,0,12,0,8,61.9,No,No,0
EV0039,67,51+,Male,West,Standard,Phone,Health,3,42,7,3,7,42.4,Yes,No,1
EV0040,40,36-50,Female,North,Free,Phone,Arts,102,0,2,6,3,24.1,Yes,No,0
EV0041,58,51+,Male,South,Free,Website,Health,66,0,6,2,3,58.2,Yes,No,0
EV0042,67,51+,Female,North,Standard,Website,Business,59,165,8,1,3,28.0,No,Yes,0
EV0043,19,18-25,Male,South,Standard,Website,Health,65,80,16,5,5,93.5,Yes,Yes,1
EV0044,76,51+,Female,East,Standard,Website,Technology,63,137,0,6,11,73.4,No,Yes,0
EV0045,35,26-35,Female,West,VIP,Mobile App,Health,45,383,0,2,1,61.6,No,Yes,0
EV0046,60,51+,Male,East,Standard,Partner Site,Arts,57,96,12,1,10,67.0,Yes,Yes,1
EV0047,71,51+,Female,East,Free,Website,Arts,10,0,14,6,4,82.3,No,Yes,1
EV0048,21,18-25,Male,North,Standard,Phone,Education,54,62,5,6,5,53.1,Yes,Yes,1
EV0049,41,36-50,Male,East,Free,Mobile App,Education,43,0,17,4,6,54.2,No,Yes,1
EV0050,23,18-25,Male,West,Student,Partner Site,Health,114,26,4,4,10,2.1,No,No,0
EV0051,70,51+,Female,North,Student,Phone,Health,44,14,11,5,3,94.7,No,Yes,1
EV0052,32,26-35,Female,West,Free,Phone,Health,70,0,17,4,2,19.8,Yes,No,1
EV0053,66,51+,Female,West,Standard,Mobile App,Education,90,54,17,3,9,88.6,No,No,0
EV0054,67,51+,Male,South,Free,Partner Site,Technology,23,0,1,2,4,48.4,Yes,Yes,0
EV0055,28,26-35,Male,South,Standard,Mobile App,Business,16,148,3,3,5,60.9,No,Yes,1
EV0056,57,51+,Male,East,Standard,Website,Arts,7,99,3,6,6,66.0,No,Yes,1
EV0057,55,51+,Female,West,Standard,Partner Site,Technology,33,40,9,3,0,24.5,No,Yes,1
EV0058,55,51+,Female,East,Free,Phone,Technology,27,0,18,2,11,71.9,No,Yes,1
EV0059,65,51+,Male,East,Standard,Website,Education,79,56,11,1,9,9.9,Yes,Yes,1
EV0060,33,26-35,Female,South,Student,Mobile App,Health,24,,8,1,6,2.3,No,No,0
EV0061,65,51+,Male,North,Free,Mobile App,Business,38,0,7,0,5,29.5,No,No,0
EV0062,63,51+,Male,West,Free,Partner Site,Health,84,0,11,0,1,26.5,No,No,0
